,Unnamed: 0.1,Unnamed: 0,comment,sentimen
0,0,0,maaf yah pak boneng yg bapa bilang katanya gapernh nyari kerja  itu klo ada bang mandra mhh psty di banyolin sombong amat  dulu mhh ya boleh lhh krna msih muda msih bnyk yg minat dgn karya bapa tpi kn itu juga cuman kya piguran cmn sbntar tampil nya klo hrus nunggu2 tawaran yg pas dgn bayaran jtoh nya kya nya seakan akan gimnh gtuhh,neutral
1,1,1,coba tolong politik liat ini oh itu tidak mungkin,neutral
2,2,2,undang adipati dolken bang praz,neutral
3,3,3,wajah nya memang menuarambut nya juga memutihtapi setiap film nya ga bakal tetap segar untuk kita tonton berulang ulang kali,neutral
4,4,4,saksi sejarah film indonesia awal mula dibuatnya sinetron salut pak boneng terima kasih utk ilmu dan sharing kisahnya,neutral
5,5,5,rasanya ingin kembali hidup seperti di masa kecil film warkop selalu menghibur yg bikin ketawa dulu film favorit waktu kecil kalo dgr  nama dono kasino indro paling bersemangat mau nonton semoga bang indro dan om boneng tetap di berikan kesehatan dan panjang umur orang yg paling top yg menghibur byk org,positive
6,6,6,mbah boneng ,neutral
7,7,7,kwkwk gak penting bgt katanya boneng,neutral
8,8,8,salut sama om boneng coba deh kalian perhatikan om boneng kalem banget senior yang sangat matangom indro dengan om deddy sedang mengobrol om boneng gk pernah sedikitpun memotong pembicaraan mereka om boneng selalu mengikuti arus lingkungannyakeren parah,neutral
9,9,9,2 seniman legenda dunia hiburan indonesia yang sangat melekat dihati anak 8090 an hingga saat ini ,neutral
10,10,10,salah satu dari banyak senima panutan indonesiasehat selalu omku,neutral
11,11,11,satpam laker ,neutral
12,12,12,jangan lupa transfer  ato amplop ke bang bonenghehe ,neutral
13,13,13,satpam laker oleng,neutral
14,14,14,semoga selalu dalam lindungan allah swtom dedyom indro dan atuk boneng beserta para penontonya,neutral
15,15,15,legend  sehat selalu wak boneng,neutral
16,16,16,seniman legenda memang berbeda seniman itu harus ikhlas berkarya bukan seniman proyek memang panutan makasih pak indro dan pak boneng,neutral
17,17,17,andai kata dono dan kasino ada seneng kayak nga,neutral
18,18,18,ada yang inget kata ondeonde,neutral
19,19,19,sehat selalu indroboneng idolakuuuuuuuu,neutral
20,20,20,khusus kalau tamu lengend jangan sponsor teh om tapi kopikarena pembahasan nya jauh dan dalam sekali,neutral
21,21,21,entah berapa kali sudah saya nonton podcast bang dedey dgn bintang tamu luar biasa om indro dan om didi boneng terharu dan netes air mata menyimak sekian kali podcast ini sehat trus bang deddy c om indro dan om didi boneng aminnnnn ya allah,neutral
22,22,22,jaman dulu porno dimana2perkosaan dikitjaman now semua tertutupperkosaan dan pelecehan gila2an,neutral
23,23,23,the best om om,positive
24,24,24,respect legend ,neutral
25,25,25,om boneng dan om indro adalah seniman sejati hidup mereka untuk berkarya terima kasih banyak untuk semua karya yang kalian berikan untuk indonesia kalian ga akan terlahir kembali kalian the one and only,neutral
26,26,26,salut sama bang indro warkop  pengetahuanya luas bgt tapi ngomongnya alus tidak ingin menyinggung piihak lainmantappp pokoknya,neutral
27,27,27,masya allahsenior bertemusehat selalu om indro dan om bonengsemoga selalu di sehatkan badan di murahkan rezki,neutral
28,28,28,pemikiran om indro  om boneng sama sprt seorang ahli ilmu agama islam dlm hal keihlasan  kalau 2 orang ini  yg penting berkaryaperkara dpt duit atau  tdk itu nomer belakangan sama sprt seorang ahli agama islam  yg penting saya terus ngaji  beramal supaya jadi seorang yg alim walaupun hidup miskin   perkara laku di undang atau tdknya itu cuman bonus ,neutral
29,29,29,pendidikan satpam yg paling keras dilatih om boneng,neutral
30,30,30,terima kasih aktor aktor terbaik om boneng dan om indro semoga sehat selalu umur panjang dan murah rejeki semoga selalu dalam lindungan allah swt amiiin,neutral
31,31,31,1050,neutral
32,32,32,apasih baru mulai udah ngomong meninggal2  super lucuu,positive
33,33,33,ko omboneng kurang terkenal padahal diapelawak top kayawarkop,positive
34,34,34,jahat ni orangdi suruh mandi telat dikit meledak wkwk,neutral
35,35,35,undang habib alwi assegaf dong om waktu kecil kan pernah sama habib alwi,neutral
36,36,36,siapa dsini yg bru tw klo sinetron itu ada kpanjanganya sinema electronik,neutral
37,37,37,om boneng maaf muka mu dulu ngeselin greget banget heheheeh sehat2 om semoga panjang umur,neutral
38,38,38,lah iya keinget film warkop dki yang jadi satpam  paling suka nonton podcast sama pelawak kreatif ilmunya banyak jadi gak sia sia buang waktu sehat selalu semuanya,neutral
39,39,39,om boneng aktinnya selalu ngeselin buat aku ,neutral
40,40,40,boneng ditahun kami masih anak2 jd kata2 buat ngatain kawan yg giginya agak nganu aktingnya yg diinget pas giginya menmancarkan cahaya trs bunyi tingng,neutral
41,41,41,daging banget ini obrolan om deddan gw yakin hati nurani luh tergerak buat bikin ide brilian gmn caraa memproteksi kualitas karya2 seniman yg benar2 senimangw dukung om ded kalo bisa ketuai para seniman di indonesia dan memproteksi kembali karya2nya para senimanjangan yg muda aja tp yg legend2 yg tergerus sm jaman skarang dan esokharus ada ini yg menamjung kembali biar seniman2 indonesia benar2 hidup kembali dengan kualitas yg jauh lebih baik lgyuk seniman indonesia saling asah asih asuh dan merujuk dan bersatu lg dalam 1 wadah baik yg udah lanjut dan masih mudabuat om diding dan om indro doa selalu buat om2 agar  sehat selalu,neutral
42,42,42,pesan dari podcast ini adl jangan pernah mengeluh  dan ikhlas indro warkop didin boneng sehat sehat semua nya om,neutral
43,43,43,di daerah kuningan ada bioskop murah dulu htm 1500di bongkar jadi apartemennama bioskop ny gembira ,neutral
44,44,44,2 legend,neutral
45,45,45,pak diding boneng ini adalah simbol dr orang maaf bergigi tongossetiap ada orang yg bergigi tongos pasti dijuluki boneng harusnya dpt royalti sih pak diding ,neutral
46,46,46,paling inget pak diding boneng dg kue kleponondeonde mya,neutral
47,47,47,emang kalau dengarin tetua negri ini kita jadi tau kalau semua tentang nama pembangunan,neutral
48,48,48,om indro aku pengen dapet atmosfer kaya yang om indro rasain pengen juga ketemu langsung ngobrol,neutral
49,49,49,muantepppkaga ada perkataan dari om indro dan om boneng yang terasa dipaksakan atau dibuat buatsaya merasakan ke apa ada an nya mereka terkhusus om boneng,neutral
50,50,50,wa masih ingat dulu nonton warkop dibioskop presiden purwokertodiajak almbapak saya,neutral
51,51,51,jaassssiiiix rek pole eleng masa lalu bravo masih bisa pelaku sejarah film indonesia jaya salut,neutral
