,Unnamed: 0.1,Unnamed: 0,comment,sentimen
0,0,0,now im a fan and addicted to westlife my boyfriend listened to your romantic songs thank you my beloved tony ,positive
1,1,1,after my breakup july 2023 this kept me going though,neutral
2,2,2,listening to this in 2023 absolutely beautiful,positive
3,3,3,its a shame that bryan left westlife,neutral
4,4,4,who is here 2023,neutral
5,5,5,december 2023,neutral
6,6,6,vejo vossas msicas desde os meus 4 aninhose simplesmente amoadoro muito vocs,neutral
7,7,7,if you have ever been heart broken by  someone you love hit like,positive
8,8,8,10122023,neutral
9,9,9,ilove  all  your  mouvie very nc    its a  long   times       merc ,positive
10,10,10,,neutral
11,11,11,me,neutral
12,12,12,she cheated on me aint ever dating again,neutral
13,13,13,listening to this beautiful song dec 2023 im getting ready to listen to all their beautiful songs as a i get to see them  live march 2024im 60 years old best boy and ever,positive
14,14,14,still listening and its 2023 going to 2024,neutral
15,15,15,yeah this is real music,positive
16,16,16,,neutral
17,17,17,2023 west life still leads,neutral
18,18,18,im from meghalaya i like this song forever no naked no girl no alcohol only song good job,positive
19,19,19,love this song so much sing it on next time you come vietnam ,positive
20,20,20,2023 yoo,neutral
21,21,21,i love you guys so much,positive
22,22,22,2023 my favorit song ,neutral
23,23,23,2023,neutral
24,24,24,i am from uganda but i love you so much ,positive
25,25,25,listening in 2023 westlife are my guilty pleasure haha,negative
26,26,26,absolutely ed sheeran is on another level,positive
27,27,27,who is listening this song in 2023,neutral
28,28,28,i will listen to this till 2084,neutral
29,29,29, i remember sending this song to my ex,neutral
30,30,30,ilove westlife all song still my favorite ,positive
31,31,31,still listening in 2023 november,neutral
32,32,32,it was definitely so special my best friendmy love forever ,positive
33,33,33,im listen till date,neutral
34,34,34,listening on 2023 love westlife ,positive
35,35,35,is my boyband foreveri love you my shane filanu solo album is incredible i listen all u solo song too ,positive
36,36,36,eishhwas stuck in the past for a moment,negative
37,37,37,jijiitdprmny,neutral
38,38,38,listening in  november 2023,neutral
39,39,39,m s,neutral
40,40,40,i love this song reminds of my man ,positive
41,41,41,this song make me understand how men usualy thinks about us,neutral
42,42,42,2023 but still listening,neutral
43,43,43,i am listening to this song in november 2023,neutral
44,44,44,great show westlife,positive
45,45,45,favv,neutral
46,46,46,who is listening to this in 2023  2024,neutral
47,47,47,whos listening in 2023 hit like ,neutral
48,48,48,dilfs,neutral
49,49,49,nov 2023,neutral
50,50,50,,neutral
51,51,51,listening from nigeria ,neutral
52,52,52,westlife is the best,positive
53,53,53,minha segunda boyband favorita i love you westlife,positive
54,54,54,westlife with best melody sitll best song in 2023,positive
55,55,55,2023 anyone ,neutral
56,56,56,westlife forever i lost my best friend from childhood who i sang all the westlife songs with i am still heartbroken this is to ruth i know you are in a better place,positive
57,57,57,,neutral
58,58,58,great song westlife,positive
59,59,59,here in 2023,neutral
60,60,60,these guys are amazing,positive
61,61,61, this song ,neutral
62,62,62,2023 anyone,neutral
63,63,63,21 october 2023,neutral
64,64,64,october 21 2023 ,neutral
