,Unnamed: 0,comment
0,0,"Maaf yah pak Boneng, yg bapa bilang katanya gapernh nyari² kerja , itu Klo ada bang Mandra mhh, psty di banyolin, (Sombong Amat) 😅😂,, Dulu mhh ya boleh lhh krna msih muda msih bnyk Yg minat dgn karya bapa, Tpi Kn itu juga cuman Kya piguran cmn sbntar Tampil nya,, Klo hrus nunggu2 tawaran yg pas dgn bayaran, jtoh nya Kya nya seakan akan Gimnh gtuhh,,"
1,1,Coba tolong politik liat ini (oh itu tidak mungkin)
2,2,Undang Adipati Dolken bang praz
3,3,Wajah nya memang menua..rambut nya juga memutih..tapi setiap film nya ga bakal tetap segar untuk kita tonton berulang ulang kali
4,4,Saksi Sejarah film Indonesia. Awal mula dibuatnya Sinetron. Salut pak Boneng. Terima kasih utk ilmu dan sharing kisahnya..
5,5,"Rasanya ingin kembali hidup seperti di masa kecil, film warkop selalu menghibur yg bikin ketawa, dulu film favorit waktu kecil, kalo dgr  nama Dono Kasino Indro paling bersemangat mau nonton, semoga Bang Indro dan Om Boneng tetap di berikan kesehatan dan panjang umur, orang yg paling top yg menghibur byk org."
6,6,Mbah boneng 😌
7,7,Kwkwk gak penting bgt katanya boneng
8,8,"Salut sama om boneng, Coba deh kalian perhatikan om boneng kalem banget (Senior yang sangat matang)
Om indro dengan om deddy sedang mengobrol om boneng gk pernah sedikitpun memotong pembicaraan mereka, om boneng selalu mengikuti arus lingkungannya...
Keren parah"
9,9,2 seniman legenda dunia hiburan indonesia yang sangat melekat dihati anak 80-90 an hingga saat ini 😅❤
10,10,"Salah satu dari banyak senima panutan Indonesia,sehat selalu Omku"
11,11,Satpam laker 😂
12,12,"Jangan lupa Transfer & ato amplop ke Bang Boneng,he...he. ."
13,13,Satpam laker oleng😂
14,14,Semoga selalu dalam lindungan ALLAH SWT..om Dedy.om Indro dan Atuk Boneng beserta para penontonya
15,15,LEGEND . SEHAT SELALU WAK BONENG
16,16,Seniman legenda memang berbeda seniman itu harus ikhlas berkarya bukan seniman proyek!. Memang panutan makasih pak indro dan pak boneng
17,17,Andai kata dono dan kasino ada seneng kayak nga😢😢
18,18,Ada yang inget kata ONDE..ONDE..?
19,19,"Sehat selalu indro,boneng idolakuuuuuuuu"
20,20,"Khusus kalau tamu lengend jangan sponsor teh om tapi kopi.
Karena pembahasan nya jauh dan dalam sekali.."
21,21,"Entah berapa kali sudah saya nonton podcast bang dedey dgn bintang tamu luar biasa, om indro dan om didi boneng, terharu dan netes air mata menyimak sekian kali podcast ini, sehat trus bang deddy C, om indro dan om didi boneng, aminnnnn ya allah"
22,22,"Jaman dulu porno dimana2....
Perkosaan dikit.....

Jaman now semua tertutup...
Perkosaan dan pelecehan gila2an"
23,23,The best om om
24,24,"Respect, legend !!!"
25,25,"Om boneng dan Om Indro adalah seniman sejati ...hidup mereka untuk berkarya 
Terima kasih banyak untuk semua karya yang kalian berikan untuk Indonesia 
Kalian ga akan terlahir kembali 
Kalian the one and only"
26,26,"Salut sama bang indro warkop,  pengetahuanya luas bgt tapi ngomongnya alus, tidak ingin menyinggung piihak lain..mantappp pokoknya"
27,27,"MASYA ALLAH...SENIOR BERTEMU,SEHAT SELALU OM INDRO DAN OM BONENG,SEMOGA SELALU DI SEHATKAN BADAN DI MURAHKAN REZKI"
28,28,"PEMIKIRAN OM INDRO & OM BONENG SAMA SPRT SEORANG AHLI ILMU AGAMA ISLAM DLM HAL KEIHLASAN , 
KALAU 2 ORANG INI , YG PENTING BERKARYA,PERKARA DPT DUIT ATAU  TDK ITU NOMER BELAKANGAN ,
SAMA SPRT SEORANG AHLI AGAMA ISLAM , YG PENTING SAYA TERUS NGAJI & BERAMAL SUPAYA JADI SEORANG YG ALIM ,WALAUPUN HIDUP MISKIN ,  PERKARA LAKU DI UNDANG ATAU TDKNYA ITU CUMAN BONUS ,"
29,29,Pendidikan Satpam yg paling keras dilatih om boneng😅😅😅
30,30,Terima kasih aktor aktor terbaik.. Om boneng dan om indro.. Semoga sehat selalu. Umur panjang. Dan murah rejeki.. Semoga selalu dalam lindungan allah swt.. Amiiin.
31,31,10:50
32,32,Apasih baru mulai udah ngomong meninggal2 🤣🤣 super lucuu
33,33,Ko omboneng kurang terkenal padahal diapelawak top kayawarkop
34,34,"Jahat ni orang,di suruh mandi telat dikit meledak wkwk"
35,35,Undang Habib alwi Assegaf dong Om. Waktu kecil kan pernah sama habib alwi
36,36,Siapa dsini yg bru tw klo sinetron itu ada kpanjanganya Sinema Electronik😅
37,37,"Om Boneng maaf, muka mu dulu ngeselin, greget banget.. heheheeh sehat2 om semoga panjang umur"
38,38,Lah iya. Keinget film warkop dki yang jadi satpam 🤣 paling suka nonton podcast sama pelawak kreatif ilmunya banyak jadi gak sia sia buang waktu sehat selalu semuanya
39,39,Om boneng aktinnya selalu ngeselin buat aku 😂
40,40,Boneng ditahun kami masih anak2 jd kata2 buat ngatain kawan yg giginya agak nganu.. Aktingnya yg diinget pas giginya menmancarkan cahaya trs bunyi.. Tingng..
41,41,"""Daging banget ini obrolan om ded..Dan gw yakin hati nurani luh tergerak buat bikin ide brilian gmn cara'a memproteksi kualitas karya2 seniman yg benar2 seniman..Gw dukung om ded kalo bisa ketuai para seniman di indonesia dan memproteksi kembali karya2nya para seniman..Jangan yg muda aja tp yg legend2 yg tergerus sm jaman skarang dan esok..Harus ada ini yg menamjung kembali biar seniman2 indonesia benar2 hidup kembali dengan kualitas yg jauh lebih baik lg..Yuk seniman Indonesia saling asah asih asuh dan merujuk dan bersatu lg dalam 1 wadah baik yg udah lanjut dan masih muda..Buat om Diding dan om Indro doa selalu buat om2 agar  sehat selalu..🤔🤲"""
42,42,"Pesan dari podcast ini adl.. ""Jangan Pernah Mengeluh !!!"" Dan ""Ikhlas"" #Indro Warkop #Didin Boneng (sehat sehat semua nya om)"
43,43,"Di daerah Kuningan ada bioskop murah dulu HTM 1500
Di bongkar jadi apartemen
Nama bioskop ny GEMBIRA 😂"
44,44,2 legend
45,45,"Pak Diding Boneng ini adalah simbol dr orang (maaf) ber-gigi tongos..setiap ada orang yg bergigi tongos pasti dijuluki Boneng, harusnya dpt royalti sih Pak Diding 😀"
46,46,Paling inget Pak Diding Boneng dg Kue klepon/onde-onde mya😍
47,47,Emang kalau dengarin tetua negri ini kita jadi tau kalau semua tentang nama pembangunan😂😂😂
48,48,"Om indro, aku pengen dapet atmosfer kaya yang om indro rasain, pengen juga ketemu langsung ngobrol.❤"
49,49,"Muanteppp,kaga ada perkataan dari om indro dan om boneng yang terasa dipaksakan atau dibuat buat,saya merasakan ke apa ada an nya mereka terkhusus om boneng"
50,50,Wa masih ingat dulu nonton warkop dibioskop presiden purwokerto..diajak alm.bapak saya.😢😢
51,51,"Jaassssiiiix rek ,pole eleng masa lalu bravo masih bisa pelaku sejarah film Indonesia Jaya .....🙏🙏🙏👍👍👍salut...."
52,52,"Jaassssiiiix rek ,pole eleng masa lalu bravo masih bisa pelaku sejarah film Indonesia Jaya .....🙏🙏🙏👍👍👍salut...."
53,53,"Udah lah, komedi Indonesia tanpa warkop gak akan jadi apa apa"
54,54,Om boneng dan om indro sehat selalu
55,55,gantian ngmng dong om indro..
56,56,om boneng pjg umur ttp sehat😊
57,57,Sehat selalu🍃
58,58,"Adu argumen Seniman jaman dulu sama era sekarang, seru ni pola pikir era dulu sma era skrang."
59,59,Semoga sehat selalu semuanya 🙏
60,60,"Bener bener Tawadu'"" dan Tawaqal sifat seniman Indro"
61,61,masih banyak yang MINTERIIII....masih banyak yang bisa di BODOHIIIII...
62,62,Aku gak bisa lupa adegan onde2 nancep di gigi om boneng 😂😂😂😂😂😂
63,63,Duo legenda hidup.. makasih dah mewarnai hidup kita yg kelahiran 70 an
64,64,"Seniman proyek: Berkarya karena ada harga.
Seniman sejati: Berharga karena ada karya."
65,65,Ah saya kecewa dengan om Didin..saya tegur tapi responnya jelek seakan ke arah sombong ..saya tanya ini om diding Boneng..eh respon kurang baik jawab iya dan terus bilang kenapa dengan raut wajah jutek
66,66,"Alhamdulillah pada sehat"" Semua. Terimakasih om boneng ma om indro, yg sudah menghiasi masa"" Kecilku lewat film""nya."
67,67,"Om indro & om boneng sang legenda komedi.
Takan tergantikan.. sehat selalu buat mereka..
Om dedi salam buat om indro dari anak purbalingga, khususnya kemangkon."
