,Unnamed: 0,comment
0,0,"Now I'm a fan and addicted to Westlife, my boyfriend listened to your romantic songs, thank you, my beloved, Tony ❤❤❤"
1,1,After my breakup July 2023 this kept me going though.......
2,2,Listening to this in 2023 absolutely beautiful
3,3,It's a shame that Bryan left Westlife😢
4,4,"Who is here 2023,"
5,5,December 2023❤❤❤❤
6,6,"Vejo vossas músicas desde os meus 4 aninhos,e simplesmente amo❤,adoro muito vocês😍😍"
7,7,If you have ever been heart broken by  someone you love hit like.
8,8,10/12/2023💝💝💝💝
9,9,Ilove  all  your  mouvie very nîcé    its a  long   times       mercî 😊
10,10,❤
11,11,Me😊
12,12,"She cheated on me 😭😭
Ain't ever dating again"
13,13,"Listening to this beautiful song Dec 2023
 I'm getting ready to listen to all their beautiful songs as a I get to see them  live March 2024.Im 60 years old Best Boy and ever"
14,14,Still listening and it's 2023 going to 2024❤🥺
15,15,Yeah this is real music
16,16,❤
17,17,2023 West Life still leads
18,18,Im from meghalaya i like this song forever no naked no girl no alcohol only song good job
19,19,"Love this song so much, sing it on next time you come Vietnam :*"
20,20,2023 yoo
21,21,I love you guys so much
22,22,2023 my favorit song ❤❤❤
23,23,2023??❤
24,24,I am from Uganda but I love you so much .
25,25,Listening in 2023 westlife are my guilty pleasure haha
26,26,absolutely ed sheeran is on another level
27,27,Who is listening this song in 2023
28,28,I will listen to this till 2084❤
29,29,❤ I remember sending this song to my ex
30,30,Ilove westlife all song still my favorite 💖
31,31,Still listening in 2023 November
32,32,It was definitely so special my best friend/my love forever ❤
33,33,I'm listen till date
34,34,Listening on 2023. Love Westlife ❤
35,35,"Is my BOYBAND FOREVER,I LOVE YOU MY SHANE FILAN,U SOLO ALBUM IS INCREDIBLE I LISTEN ALL U SOLO SONG TOO ❤❤❤"
36,36,Eishh...was stuck in the past for a moment
37,37,😂❤jijiitdprmny
38,38,Listening in  November 2023❤❤❤
39,39,M S
40,40,I love this song reminds of my man 😆
41,41,this song make me understand how men usualy thinks about us
42,42,"2023 but still listening
💚🤍❤️"
43,43,I am listening to this song in November 2023
44,44,Great show westlife
45,45,favv
46,46,Who is listening to this in 2023 & 2024?
47,47,Who's listening in 2023 hit like 👍🤍
48,48,DILF´S
49,49,nov 2023🎉
50,50,❤
51,51,Listening from Nigeria 🇳🇬
52,52,Westlife is the best
53,53,Minha segunda boyband favorita i love you Westlife
54,54,Westlife with best Melody sitll best song in 2023
55,55,2023 anyone ???
56,56,"Westlife forever♥ I lost my best friend from childhood who I sang all the Westlife songs with, I am still heartbroken. This is to Ruth, I know you are in a better place💙💙"
57,57,♥️♥️♥️
58,58,Great song westlife
59,59,Here in 2023
60,60,These guys are amazing
61,61,😢😢 this song ❤❤❤
62,62,2023 anyone??
63,63,21 october 2023❤
64,64,"October 21, 2023 💕"
65,65,"Im 11 and im in love with westlife for about 1 year now:)I get laughed at for liking backstreet boys and westlife but my mom tells me it doesnt care how old a song is,it will always stay the beautiful"
66,66,Listening to this song feels still like the first time i heard it.
67,67,*Как романтично.
68,68,listening to it in 2023 and still good🎉
69,69,An old song but ever new❤❤😍
70,70,Scusami Scusami Scusami ho bisogno della mia medicina 😂😂😂😂😂😂😂😂😅😅😅😅😅😅😅😅😅😅😅😮😮😮😮😮😮😮😢😢😢😢😢😢😢😢😊🎉🎉🎉🎉🎉🎉❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤Scusami Scusami Ma sono una Farfalla 🦋 🦋 🦋 🦋 🦋 🦋 🦋 🦋 🦋 🦋 😅😅😅😅😅😅😅😅😅😅😅😅😅
71,71,2023 ❤
72,72,A song they uploaded back years ago on my exact birthday! And it has been my fave track of them since. Stop asking me if I am still listening! Cuz I never left and I could probably say that after all those years I became a #BetterMan
73,73,"yes มีผมฟัง 1 คน
ผมว่านานๆได้ฟังเพื่อนร้องเพลงสักครั้ง เคยฟังแต่ผู้หญิงร้อง thank youเชนนายทำได้ดี🙏💫 1:38"
74,74,Ed Sheeran's lyricism is on another level. 🎉
75,75,Lovely song... Much love Westlife. Looking forward seeing you all one day.
76,76,2023 where u at ?
77,77,LEGEND❤
78,78,Oktober 2023
79,79,2023..we still here
80,80,Old is gold listening in 2023
81,81,I love to listen all the songs of Westlife from then until now their voices never change it always lovely and beautiful voices 😘😘😘❤️❤️❤️
82,82,Westlife Are The Best 🇮🇪
83,83,Who's listening to this song in 2023 ...........song never gets old😊
84,84,❤️❤️❤️
85,85,westlife the best🎉🎉🎉
86,86,❤
87,87,"Westlife and A1 are my favorite boybands. First saw you guys when I was around 10, it's 2023 and I still love you guys.♥♥♥"
88,88,2023october thumbs up
89,89,Beautiful song ❤
90,90,2023 still listening
91,91,2023 last day of September
92,92,Best ever 2023
93,93,This was supposed to be an emotional song.but Shane had to ruin it with that mike😀😅
94,94,2023🤩😍🥰
95,95,"Forever be part of me. One of the best boy band for me. Thank you westlife for the music that serves as entertainment and inspiration for me until now. Forever will be remembered, I'm a 2001liner and your music is always a masterpiece, superb and wholesome 😊💕"
96,96,2023 ❤
97,97,2023 show your light
98,98,"You and I had something special, baby
Something that you only see on movie screens, I know
Lately, I've been missing you like crazy
Oh, why, why'd you let me in just to let me go?

Most guys will get high when feeling low
But I don't think that that's the way to go
Sometimes I'll be sitting on my own
Thinking 'bout life, thinking 'bout you and me

How do you lose the one you love?
After giving it all, you gave it up
Maybe my love wasn't enough
You think you know, but you never can
How do you lose your only plan?
Well darling, just give me one more chance
And I'll give you everything I have
I'll try to be a better man

I felt things when we were naked
I saw an angel, but they've hidden their wings, I know
Everyone's got that special baby
Oh, I, now I only see you in my dreams

Most guys will get high when feeling low
But I don't think that that's the way to go
Sometimes I'll be sitting on my own
Thinking 'bout life, thinking 'bout you and me

How do you lose the one you love?
After giving it all, you gave it up
Maybe my love wasn't enough
You think you know, but you never can
How do you lose your only plan?
Well darling, just give me one more chance
And I'll give you everything I have
I'll try to be a better man

I've been up and I've been down
Think that's just what love's about
You took the words right out my mouth
If you feel it, say it now
It's been a while but I've figured it out
But it ain't just what love's about?
You took the words right out my mouth
But if you feel it, say it now

How do you lose the one you love? (how do you lose?)
After giving it all, you gave it up
And maybe my love wasn't enough
You think you know, but you never can
And how do you lose your only plan?
Well darling, just give me one more chance
And I'll give you everything I have
I'll try to be a better man"
99,99,My one only love for lifetime ms u guys
100,100,I almost forgot to listen to this masterpiece today 🤣
101,101,2023❤
102,102,Westlife for ever
103,103,Started listening to Westlife from 2003 still listening 2023....and will always do🤗💐....love you all♥️
104,104,My be my love was not enough 😭😭
