,comm_date,author,author_id,likes,comment,video_id
0,2023-12-14T22:08:14Z,@priscilamiranda5544,UChJPbwyO2363hkBHbscjH-w,0,"Now I'm a fan and addicted to Westlife, my boyfriend listened to your romantic songs, thank you, my beloved, Tony ❤❤❤",ZEQOE1oZQ-4
1,2023-12-13T19:37:58Z,@omorofred3207,UCKQW4tq5yLoj2QiOTpVKGiQ,1,After my breakup July 2023 this kept me going though.......,ZEQOE1oZQ-4
2,2023-12-13T06:57:00Z,@jodypennells5101,UCxHzAnqTOeHGieu94ugQqYA,0,Listening to this in 2023 absolutely beautiful,ZEQOE1oZQ-4
3,2023-12-12T06:58:45Z,@raihanmuhammad-mx3jv,UCkJy3lrvJIkIVDUMg216Wrg,0,It's a shame that Bryan left Westlife😢,ZEQOE1oZQ-4
4,2023-12-11T16:30:48Z,@LuminousConnect,UCyupyBfy8-qPU220ttzS4rw,2,"Who is here 2023,",ZEQOE1oZQ-4
5,2023-12-11T04:23:35Z,@elainmalala21,UCJgpweFc5I6Wl803cUbZfXQ,1,December 2023❤❤❤❤,ZEQOE1oZQ-4
6,2023-12-10T12:12:37Z,@user-oy2te7bx4p,UCGa_guwMmA72Txl7R0LcAwQ,1,"Vejo vossas músicas desde os meus 4 aninhos,e simplesmente amo❤,adoro muito vocês😍😍",ZEQOE1oZQ-4
7,2023-12-09T20:24:35Z,@gilsaintmwanakampwe8512,UCTMKV-m-cEw06OxaARKQx7A,0,If you have ever been heart broken by  someone you love hit like.,ZEQOE1oZQ-4
8,2023-12-09T17:54:00Z,@meengenge8304,UCCkvajI6qkrB8yBeJ-dC06A,0,10/12/2023💝💝💝💝,ZEQOE1oZQ-4
9,2023-12-06T13:52:58Z,@louli3071,UCbcgglxbnc2eG0qKUeCW2aA,0,Ilove  all  your  mouvie very nîcé    its a  long   times       mercî 😊,ZEQOE1oZQ-4
10,2023-12-06T13:50:36Z,@louli3071,UCbcgglxbnc2eG0qKUeCW2aA,0,❤,ZEQOE1oZQ-4
11,2023-12-06T13:50:15Z,@louli3071,UCbcgglxbnc2eG0qKUeCW2aA,0,Me😊,ZEQOE1oZQ-4
12,2023-12-06T12:24:48Z,@charlesmaina7294,UC-WF97Cto3Qn6CC_oBHKCcQ,1,"She cheated on me 😭😭
Ain't ever dating again",ZEQOE1oZQ-4
13,2023-12-06T03:28:00Z,@patriciahess1631,UCvjj78Nte8VWlko5zR32AXA,0,"Listening to this beautiful song Dec 2023
 I'm getting ready to listen to all their beautiful songs as a I get to see them  live March 2024.Im 60 years old Best Boy and ever",ZEQOE1oZQ-4
14,2023-12-04T10:56:50Z,@salimatuf.aturay1033,UCTQ0f3mDIMNDD_Aijy1ozfA,1,Still listening and it's 2023 going to 2024❤🥺,ZEQOE1oZQ-4
15,2023-12-04T05:02:55Z,@khiemgia9562,UCzvblJIkFCvSJGHIF15qAOw,0,Yeah this is real music,ZEQOE1oZQ-4
16,2023-12-03T18:50:39Z,@piwobene5845,UC7_cdZWdyT1eVuDWk6z4ZjA,0,❤,ZEQOE1oZQ-4
17,2023-12-03T09:55:22Z,@shemakamuzinzidavid7234,UChP-f6rDXMgPsQgTHy4_Y1A,1,2023 West Life still leads,ZEQOE1oZQ-4
18,2023-12-03T05:06:00Z,@MathewRyntathiang-js6sf,UCtl-w_IOgGbLnlj1aGWTQLA,0,Im from meghalaya i like this song forever no naked no girl no alcohol only song good job,ZEQOE1oZQ-4
19,2023-12-02T01:26:51Z,@user-tj5zv7pk2r,UCtDuMWLlLyZL-xI4KjzORCQ,0,"Love this song so much, sing it on next time you come Vietnam :*",ZEQOE1oZQ-4
20,2023-12-01T23:38:35Z,@ngabiranobrian8790,UCF1ngHjobR682SC5IaeO4_g,0,2023 yoo,ZEQOE1oZQ-4
21,2023-11-30T15:01:39Z,@NgocAnhNguyen-pb2db,UCelEHMI1MMqTdexEYsix8FQ,0,I love you guys so much,ZEQOE1oZQ-4
22,2023-11-30T11:48:24Z,@michael705,UCMPkT5QBWmKdTo7jeldUnEA,0,2023 my favorit song ❤❤❤,ZEQOE1oZQ-4
23,2023-11-30T02:21:19Z,@Kim-lq8vi,UCsHSv-CIrpqJl2vU1aBuVkg,0,2023??❤,ZEQOE1oZQ-4
24,2023-11-29T18:23:01Z,@jamilanakato7871,UCRkkWe5iYjpg78mBMRCirVA,1,I am from Uganda but I love you so much .,ZEQOE1oZQ-4
25,2023-11-28T09:58:35Z,@chelsie594,UCj0CMUGTBfvlDY0j-w22R8g,1,Listening in 2023 westlife are my guilty pleasure haha,ZEQOE1oZQ-4
26,2023-11-27T21:03:11Z,@salomaojoaobaptista,UCkfP9MlBGc9ti_1ryyJh97w,0,absolutely ed sheeran is on another level,ZEQOE1oZQ-4
27,2023-11-25T17:16:05Z,@inosedifrodah7870,UCJnuVMzc3SkaQT56RBFWuHQ,3,Who is listening this song in 2023,ZEQOE1oZQ-4
28,2023-11-25T10:48:27Z,@user-dt1vn7jg3i,UCN9YPcI5p3SzlhQVYZbmVpg,0,I will listen to this till 2084❤,ZEQOE1oZQ-4
29,2023-11-25T04:15:38Z,@nkocyzikhali3119,UCsSStvpj681SHUtOTQ1qWZQ,0,❤ I remember sending this song to my ex,ZEQOE1oZQ-4
30,2023-11-23T11:02:05Z,@jakedeleon6813,UCF1ols9PadFZP0GeRuqdWQw,0,Ilove westlife all song still my favorite 💖,ZEQOE1oZQ-4
31,2023-11-21T09:48:08Z,@user-on9tb6wg2x,UCOR0szbandWelU7T53Q8JGg,0,Still listening in 2023 November,ZEQOE1oZQ-4
32,2023-11-19T15:21:09Z,@johnharbinson6091,UCI9xmmpD-SsPPYUT3-fl79g,0,It was definitely so special my best friend/my love forever ❤,ZEQOE1oZQ-4
33,2023-11-19T14:12:31Z,@steviemeredith5081,UCrp-UhkXiA95M5WGTbHc0QA,0,I'm listen till date,ZEQOE1oZQ-4
34,2023-11-19T13:52:07Z,@elisabethboca4530,UCoThkXobWc6EgTwHpB6LMig,0,Listening on 2023. Love Westlife ❤,ZEQOE1oZQ-4
35,2023-11-18T00:09:33Z,@jessitarigan4547,UCpurHQYb8IBBppXMo3DCnMw,0,"Is my BOYBAND FOREVER,I LOVE YOU MY SHANE FILAN,U SOLO ALBUM IS INCREDIBLE I LISTEN ALL U SOLO SONG TOO ❤❤❤",ZEQOE1oZQ-4
36,2023-11-16T18:04:44Z,@tolomonica7688,UCID-qfPKGxYrw2ESnPl_Q7w,0,Eishh...was stuck in the past for a moment,ZEQOE1oZQ-4
37,2023-11-16T16:48:56Z,@user-pg2sy7ob4f,UCQCfRfm6nDZy8rX7XL9IqTQ,0,😂❤jijiitdprmny,ZEQOE1oZQ-4
38,2023-11-15T08:04:23Z,@MyBella8888,UCzCYHIQzMxBX7qfUzjwrHBg,0,Listening in  November 2023❤❤❤,ZEQOE1oZQ-4
39,2023-11-15T05:52:14Z,@user-gf5fl9qc6h,UCZca7Ar8j-_S7ZiBDb83J7Q,0,M S,ZEQOE1oZQ-4
40,2023-11-15T05:41:08Z,@LiLee-zq7cl,UCiK0Qx95t-NvThG26l0ej3A,0,I love this song reminds of my man 😆,ZEQOE1oZQ-4
41,2023-11-12T00:29:43Z,@user-go9sm7ps8s,UCC2hhYrD3nUb5u0alVvabmg,0,this song make me understand how men usualy thinks about us,ZEQOE1oZQ-4
42,2023-11-12T00:19:51Z,@MardieUrsal-ty6fl,UCGuq2nRfOkDboEsvYQcXY3A,0,"2023 but still listening
💚🤍❤️",ZEQOE1oZQ-4
43,2023-11-11T17:07:34Z,@joane9795,UCaGmdDIRzadh4IP_05OIZ2Q,0,I am listening to this song in November 2023,ZEQOE1oZQ-4
44,2023-11-11T08:57:52Z,@user-jn6vb3uz5c,UCpOyRs2hW60ew82yezg2PYg,0,Great show westlife,ZEQOE1oZQ-4
45,2023-11-07T05:51:18Z,@katrinaclores4878,UCkGwWgltlisQLpbeSBMPZJA,0,favv,ZEQOE1oZQ-4
46,2023-11-06T22:24:26Z,@JustYouIsaac,UCWIsL8eFvQez5eL1--kZDAQ,0,Who is listening to this in 2023 & 2024?,ZEQOE1oZQ-4
47,2023-11-06T06:35:09Z,@emeegal4774,UCaMOUQ5VCK4Vp3LZnYAVPTw,0,Who's listening in 2023 hit like 👍🤍,ZEQOE1oZQ-4
48,2023-11-04T18:31:29Z,@TheEuzkatroika,UC9Nz1Jo8f9PlshdjUu0Wg6w,0,DILF´S,ZEQOE1oZQ-4
49,2023-11-02T12:17:00Z,@ryalia9524,UCdHfN17UpFxji5r41JlKdQw,0,nov 2023🎉,ZEQOE1oZQ-4
50,2023-11-02T10:17:08Z,@berticorneles1819,UC2H3dBkfzFzD5-MsYkooq1g,0,❤,ZEQOE1oZQ-4
51,2023-10-31T16:12:38Z,@mariaeriema8567,UCo2qHeAszh6FmvOOnMVV-9g,0,Listening from Nigeria 🇳🇬,ZEQOE1oZQ-4
52,2023-10-29T12:37:46Z,@PatsonBwanausi,UCnubySNZAldvfUZ_Obsw8xw,1,Westlife is the best,ZEQOE1oZQ-4
53,2023-10-28T12:29:04Z,@jessicacamargo1972,UC7ADkrM6dZNwxUHL8Mx5lEQ,1,Minha segunda boyband favorita i love you Westlife,ZEQOE1oZQ-4
54,2023-10-27T06:19:42Z,@demasgattv6857,UCoRx2l7mcnOsFGs0feZfJKQ,0,Westlife with best Melody sitll best song in 2023,ZEQOE1oZQ-4
55,2023-10-27T04:34:56Z,@pandasong9704,UCtwgJLnoneuHi37j8qlZNyQ,1,2023 anyone ???,ZEQOE1oZQ-4
56,2023-10-26T07:30:35Z,@lilybesa1873,UC4hCJzhupiURx1PfC5HAEEA,3,"Westlife forever♥ I lost my best friend from childhood who I sang all the Westlife songs with, I am still heartbroken. This is to Ruth, I know you are in a better place💙💙",ZEQOE1oZQ-4
57,2023-10-25T23:58:33Z,@rtan9670,UCZXxvHJBsWqf6ClIS-bnv8A,0,♥️♥️♥️,ZEQOE1oZQ-4
58,2023-10-24T08:07:01Z,@user-jn6vb3uz5c,UCpOyRs2hW60ew82yezg2PYg,0,Great song westlife,ZEQOE1oZQ-4
59,2023-10-23T14:47:10Z,@blessednjeri_Elias,UCSnJeNXvJ1fBAJl_160TAPw,0,Here in 2023,ZEQOE1oZQ-4
60,2023-10-22T22:36:42Z,@emmanuelnkandu8999,UCIR0UDZ0KWDVtQPKdRVMWug,0,These guys are amazing,ZEQOE1oZQ-4
61,2023-10-22T08:40:57Z,@user-hy6wl4bu8i,UCXwrV4OuMcsmIXRQlF-Ed7A,0,😢😢 this song ❤❤❤,ZEQOE1oZQ-4
62,2023-10-21T21:02:24Z,@caroline3117,UCq67H_iH7XySBzUh10x8a-g,0,2023 anyone??,ZEQOE1oZQ-4
63,2023-10-21T14:01:43Z,@mareemaree1624,UCXUFlg3cAZol9GVLRr9VXqA,0,21 october 2023❤,ZEQOE1oZQ-4
64,2023-10-21T08:48:21Z,@simplyme4302,UC1m6wN8MYn8Tpz-QUuA_lfw,0,"October 21, 2023 💕",ZEQOE1oZQ-4
65,2023-10-19T15:06:07Z,@NotSo_Perfxct,UCjx64Q60pdvWWTyXNEOs9kg,4,"Im 11 and im in love with westlife for about 1 year now:)I get laughed at for liking backstreet boys and westlife but my mom tells me it doesnt care how old a song is,it will always stay the beautiful",ZEQOE1oZQ-4
66,2023-10-17T18:33:01Z,@AshwellAfrica-ie9hd,UC-n2eqxSWIc0SayHG6YH8kw,1,Listening to this song feels still like the first time i heard it.,ZEQOE1oZQ-4
67,2023-10-17T11:37:55Z,@Crystal-ve5yy,UCPwlvsIDhQ2VLZyA3vvaA2w,0,*Как романтично.,ZEQOE1oZQ-4
68,2023-10-16T21:02:03Z,@lukaslee1326,UCJl4mqxVgVaqK25xiqH5hQw,0,listening to it in 2023 and still good🎉,ZEQOE1oZQ-4
69,2023-10-16T20:52:00Z,@user-ne3rd3wo3j,UCUmlDwzJhucE7ejPCyOyaJg,0,An old song but ever new❤❤😍,ZEQOE1oZQ-4
70,2023-10-16T12:51:50Z,@AnnaLisaPiga,UC39myWB8o0NSr_qx6G8EFmg,0,Scusami Scusami Scusami ho bisogno della mia medicina 😂😂😂😂😂😂😂😂😅😅😅😅😅😅😅😅😅😅😅😮😮😮😮😮😮😮😢😢😢😢😢😢😢😢😊🎉🎉🎉🎉🎉🎉❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤Scusami Scusami Ma sono una Farfalla 🦋 🦋 🦋 🦋 🦋 🦋 🦋 🦋 🦋 🦋 😅😅😅😅😅😅😅😅😅😅😅😅😅,ZEQOE1oZQ-4
71,2023-10-14T19:32:31Z,@reizadessyaprianty7870,UCb9DYXEdC140Ez932UXTjFw,0,2023 ❤,ZEQOE1oZQ-4
72,2023-10-14T15:07:59Z,@attycfmphd,UCszbp5Ofn3SIiLU-nAUvRfQ,0,A song they uploaded back years ago on my exact birthday! And it has been my fave track of them since. Stop asking me if I am still listening! Cuz I never left and I could probably say that after all those years I became a #BetterMan,ZEQOE1oZQ-4
73,2023-10-14T14:23:10Z,@user-gf9io2wj2z,UCsMXRAfSPevj_yTNQzprRUw,0,"yes มีผมฟัง 1 คน
ผมว่านานๆได้ฟังเพื่อนร้องเพลงสักครั้ง เคยฟังแต่ผู้หญิงร้อง thank youเชนนายทำได้ดี🙏💫 1:38",ZEQOE1oZQ-4
74,2023-10-14T01:04:58Z,@imthebelbs,UCEuMijUs_Y5t6NeZCMmJOCA,0,Ed Sheeran's lyricism is on another level. 🎉,ZEQOE1oZQ-4
75,2023-10-13T23:13:23Z,@shopadetitilayo711,UC7Il9UE50-mBDFJxSfW4DBQ,1,Lovely song... Much love Westlife. Looking forward seeing you all one day.,ZEQOE1oZQ-4
76,2023-10-13T22:25:57Z,@luikeane_,UCN8Ph8Ft5iqdZyf7-IEsNoA,0,2023 where u at ?,ZEQOE1oZQ-4
77,2023-10-11T06:21:34Z,@keanualiibrahim1070,UCNaHM-xgX0zM2xKwX-tyyqg,0,LEGEND❤,ZEQOE1oZQ-4
78,2023-10-10T13:56:28Z,@luluizmah3376,UCakTopw99V9H3wN_04RbT0g,1,Oktober 2023,ZEQOE1oZQ-4
79,2023-10-10T11:08:31Z,@alvinnn6305,UC_5LKYQ9ntcKzJMO6MXw8Iw,1,2023..we still here,ZEQOE1oZQ-4
80,2023-10-10T07:21:12Z,@nidal2698,UCIlVGQ6lJa5HsonWZ28sGOw,1,Old is gold listening in 2023,ZEQOE1oZQ-4
81,2023-10-10T03:51:16Z,@JoycelynAlfonso,UCPPijm-nLpFWefO0oPxxjdA,5,I love to listen all the songs of Westlife from then until now their voices never change it always lovely and beautiful voices 😘😘😘❤️❤️❤️,ZEQOE1oZQ-4
82,2023-10-05T19:34:38Z,@johndenverfan,UCXYy08PCGXSNkZwrDjtMdmQ,0,Westlife Are The Best 🇮🇪,ZEQOE1oZQ-4
83,2023-10-05T15:09:31Z,@eurydicebalonda6808,UCDli-y-VmHrbLAOMs2At5aA,3,Who's listening to this song in 2023 ...........song never gets old😊,ZEQOE1oZQ-4
84,2023-10-05T13:01:41Z,@aliboAwomi-nh8cr,UCm3bZ2SswtpN5GzWSg7YIxw,0,❤️❤️❤️,ZEQOE1oZQ-4
85,2023-10-05T11:53:07Z,@JeepyAndoyo,UCzY5zfXmIoyJyp2u50bqh6w,0,westlife the best🎉🎉🎉,ZEQOE1oZQ-4
86,2023-10-04T23:14:42Z,@video-entertainment,UCKhQC7sfkLKV0NgwJtaQvHA,0,❤,ZEQOE1oZQ-4
87,2023-10-03T19:46:47Z,@christiaespinola5175,UCCgV5wf6nckXwBSOx-D2yog,1,"Westlife and A1 are my favorite boybands. First saw you guys when I was around 10, it's 2023 and I still love you guys.♥♥♥",ZEQOE1oZQ-4
88,2023-10-01T21:34:55Z,@chiriijoy9368,UCBq1h-IUlhkur8-BkP-BPyw,0,2023october thumbs up,ZEQOE1oZQ-4
89,2023-10-01T07:03:28Z,@leahmagbuhos,UCd5gxei3wD0eH38kQbw8i8Q,2,Beautiful song ❤,ZEQOE1oZQ-4
90,2023-09-30T15:45:17Z,@petermccartney9233,UCZT811C70Njtmj575Sb7Qfw,1,2023 still listening,ZEQOE1oZQ-4
91,2023-09-30T08:20:25Z,@GIGACHAD-vn4dq,UCNTf8zz-x-4wJzizxw9rnwQ,1,2023 last day of September,ZEQOE1oZQ-4
92,2023-09-30T06:58:25Z,@bpp8318,UCl4nAZApDHEFSKtY6od6wxA,1,Best ever 2023,ZEQOE1oZQ-4
93,2023-09-28T18:24:16Z,@charitymorgan1068,UCZh4nyY2654yrjhCrTd6Lew,0,This was supposed to be an emotional song.but Shane had to ruin it with that mike😀😅,ZEQOE1oZQ-4
94,2023-09-28T18:20:22Z,@charitymorgan1068,UCZh4nyY2654yrjhCrTd6Lew,1,2023🤩😍🥰,ZEQOE1oZQ-4
95,2023-09-27T04:55:52Z,@shaiadaley.fenek-an1537,UClTzqLIuzSgr5UgMoWLKe6w,3,"Forever be part of me. One of the best boy band for me. Thank you westlife for the music that serves as entertainment and inspiration for me until now. Forever will be remembered, I'm a 2001liner and your music is always a masterpiece, superb and wholesome 😊💕",ZEQOE1oZQ-4
96,2023-09-26T04:47:17Z,@hannabellzwau8148,UCSwGvMPvyh0ybdikn4GG0GQ,1,2023 ❤,ZEQOE1oZQ-4
97,2023-09-25T13:35:06Z,@mangasibasyir636,UCLjOHCmvI69I6PX2_1YZL-g,1,2023 show your light,ZEQOE1oZQ-4
98,2023-09-22T07:04:11Z,@stephanie_4897,UCwtsiu7sxP8SkZXMHev6SGQ,0,"You and I had something special, baby
Something that you only see on movie screens, I know
Lately, I've been missing you like crazy
Oh, why, why'd you let me in just to let me go?

Most guys will get high when feeling low
But I don't think that that's the way to go
Sometimes I'll be sitting on my own
Thinking 'bout life, thinking 'bout you and me

How do you lose the one you love?
After giving it all, you gave it up
Maybe my love wasn't enough
You think you know, but you never can
How do you lose your only plan?
Well darling, just give me one more chance
And I'll give you everything I have
I'll try to be a better man

I felt things when we were naked
I saw an angel, but they've hidden their wings, I know
Everyone's got that special baby
Oh, I, now I only see you in my dreams

Most guys will get high when feeling low
But I don't think that that's the way to go
Sometimes I'll be sitting on my own
Thinking 'bout life, thinking 'bout you and me

How do you lose the one you love?
After giving it all, you gave it up
Maybe my love wasn't enough
You think you know, but you never can
How do you lose your only plan?
Well darling, just give me one more chance
And I'll give you everything I have
I'll try to be a better man

I've been up and I've been down
Think that's just what love's about
You took the words right out my mouth
If you feel it, say it now
It's been a while but I've figured it out
But it ain't just what love's about?
You took the words right out my mouth
But if you feel it, say it now

How do you lose the one you love? (how do you lose?)
After giving it all, you gave it up
And maybe my love wasn't enough
You think you know, but you never can
And how do you lose your only plan?
Well darling, just give me one more chance
And I'll give you everything I have
I'll try to be a better man",ZEQOE1oZQ-4
99,2023-09-20T23:14:41Z,@coleenpanday2925,UC7r-8oJCXfe7cNUjfPF1vtA,0,My one only love for lifetime ms u guys,ZEQOE1oZQ-4
100,2023-09-20T22:24:49Z,@abramordona1695,UCeg00LfD8icKjn9hMu8u06A,1,I almost forgot to listen to this masterpiece today 🤣,ZEQOE1oZQ-4
101,2023-09-18T19:54:09Z,@bleicesoi6450,UCVVc23puxXtUHqmnkk0aHlA,2,2023❤,ZEQOE1oZQ-4
