,Unnamed: 0.1,Unnamed: 0,comment,sentimen
0,0,0,67557,neutral
1,1,1,from ruling the world to a peaceful life  ,positive
2,2,2,like this,neutral
3,3,3,finding pewds when i was just becoming a teenager  needing a laugh with all the crazy bs going on around me  in the world  now being 21 watching him have a family genuinely happy for bro,positive
4,4,4,i want to see bjorn go to school asap,neutral
5,5,5,share this all whats happening in gaza its not a warits genocidelsraeldoesnt attack an armythey attacking an unarmed civilianswomenchildrenold peopleblow up homes with their residents inside the homes they dont care if the homes have childrenwomeneven people with special needsthose civilians need to be treated as humans and thats their lowest right in this world i am wondering how the world still sees the terrible actions from the terrorist israel as oppressed children,negative
6,6,6,pewdiepie has completed youtube ,neutral
7,7,7,so cute and so happy for you all we know he was pooping at the end,positive
8,8,8,baby review ,neutral
9,9,9,the pooping face at the end ,neutral
10,10,10,after all the craziness of felixs life all the controversies and mistakes and having learned from them im glad hes living the life he deserves,positive
11,11,11,8 month mark was hard for me,negative
12,12,12,hes so in love with his baby  i love that for him,positive
13,13,13,all ages are fun but around 910 months its a lot more fun cause hell have his own personality after a year its great hell be waiting at the door and happy to see you kinda like a dog lol  glad to see the whole fam is happy,positive
14,14,14,happy for you and your fam pewds ,positive
15,15,15,iwanttobeamothersobad,neutral
16,16,16,i love these videos they feel so real and calming with the japanese subtitles calming music in the background and filters this is like comfort food in video form,positive
17,17,17,what does felix actually do these days on like a normal day he just seem to go on field trips surf and go to arcades,positive
18,18,18,1211 i love how its basically a baby ownership review lmao i love it,positive
19,19,19,i lived in yamate and i miss it there are many international schools and many foreigners my cousin went there tooon a side note i wear jojo sandals too that is soooo nicefrom a japanese viewer ,positive
20,20,20,1235 baby review,neutral
21,21,21,bjrn will find it soon,neutral
22,22,22,            ,neutral
23,23,23,are you gonna learn bjrn swedishenglish or japanese or maybe all,neutral
24,24,24,i just had my first son a couple weeks ago and i remember when i first found out i was pregnant i was so terrified and felix posted that him and marzia were expecting and i felt so excited and comforted that my favorite youtuber was expecting a child the same year as me ive loved watching his videos and now having my own little boy in my arms and watching bjorn with his parents has been such a cool experience ,positive
25,25,25,this the best seeing my favourite youtuber being happy and have a child i cant express my feeling,positive
26,26,26,714 viking speech,neutral
27,27,27,pls back in minecraft ,neutral
28,28,28,question is japan safer than the us,neutral
29,29,29,ill admit it i was secretly hoping they called bjorn bitch lasagne instead ,negative
30,30,30,mission accomplished  congrats with the family,positive
31,31,31,pewds with his son is portrait worthy next to mona lisa seems like they can telepathically communicate and itd still be considered wholesome to some extent,positive
32,32,32,attractive video,positive
33,33,33,childhood time is the best my life,positive
34,34,34,chinse cute baby,positive
35,35,35,very nice,positive
36,36,36,nice,positive
37,37,37,congratulations baby daddy pewdiepie,neutral
38,38,38,hello awreone please ,neutral
39,39,39,that kid does not look like pewdiepie  might want to do a dna test,neutral
40,40,40,bjorn is growing so fast ,positive
41,41,41,gongrats mate but as a parent 1 thing stay of the internet in family maters that is private mateits best for you and your family  stay strong,positive
42,42,42,thats a toad btw should get rid of that lol will kill your dog if they lick it,positive
43,43,43,nice video,positive
44,44,44,edgars the old one now ,positive
45,45,45,i thought the gps was from my phone,neutral
46,46,46,really cute baby,positive
47,47,47,i love your baby blogs,positive
48,48,48,aww the ib call out is so nostalgic,negative
49,49,49,623    ,neutral
50,50,50,bjorn is so cute i cant handle it,positive
51,51,51,we saw bjorn grow up through his vlog bro damn we old already,positive
52,52,52,712 hes going to inherit japan like the lion king,neutral
53,53,53,this kid has to learn english japanese swedish and italian,neutral
54,54,54,i am so glad that felix can go to places like a trampoline park in japan without being swarmed,positive
55,55,55,bjorn will speak four different languages fluently english swedish italian and japanese,neutral
56,56,56,we all know how you got that child,neutral
57,57,57,nice,positive
58,58,58,very interesting,positive
59,59,59,very nice,positive
60,60,60,nice,positive
61,61,61,dad jokes are strong already,positive
62,62,62,good to see you making it,positive
63,63,63,the baby looks 100 like marcia,neutral
64,64,64,i imagine when bjorn grows up hes going to be a multilingual person cause of just marzia being italian pewdiepie being swedish both speak english to converse with each other and theyre living in japan kinda cool honestly,positive
65,65,65,wait till he turns two,neutral
66,66,66,your such a good father,positive
67,67,67,damn im kind of jealous of marzia to be honest to be with a complex tenacious and intelligent man like felix hell do anything to make it work im really bittersweet for them bjorn is in good hands ,positive
