,Unnamed: 0,comment
0,0,67557
1,1,FROM RULING THE WORLD TO A PEACEFUL LIFE ! 😌
2,2,Like this
3,3,Finding pewds when I was just becoming a teenager & needing a laugh with all the crazy bs going on around me & in the world. & now being 21 watching him have a family. Genuinely happy for bro
4,4,I want to see bjorn go to school asap
5,5,"Share this all !!!

What's happening in Gaza it's not a war,it's genocide!lsrael

doesn't attack an army,they attacking an unarmed civilians,women,children.old people.Blow up homes with their residents inside the homes, they don't care if the homes have children,women,even people with special needs.those civilians need to be treated as humans, and that's their lowest right in this world. I am wondering how the world still sees the terrible actions from the terrorist Israel as oppressed?!! Children,"
6,6,Pewdiepie has completed YouTube 🥹🥹🥹🎉
7,7,So cute and so happy for you all! We know he was pooping at the end!!
8,8,Baby review. 👏👏
9,9,The pooping face at the end 😂😂😂
10,10,"After all the craziness of Felix's life, all the controversies and mistakes, and having learned from them, I'm glad he's living the life he deserves."
11,11,8 month mark was hard for me
12,12,He’s so in love with his baby ❤❤❤ I love that for him!!
13,13,"All ages are fun, but around 9-10 months it's a lot more fun cause he'll have his own personality. After a year it's great, he'll be waiting at the door and happy to see you, kinda like a dog, lol ... Glad to see the whole fam is happy!!"
14,14,Happy for you and your fam Pewds :)
15,15,IwanttobeamotherSOBAD
16,16,"I love these videos. They feel so real and calming, with the Japanese subtitles, calming music in the background, and filters. This is like comfort food in video form"
17,17,"what does felix actually do these days on like a normal day? he just seem to go on field trips, surf and go to arcades?"
18,18,12:11 I love how it's basically a baby ownership review lmao I love it
19,19,"I lived in YAMATE and I miss it. There are many international schools and many foreigners. My cousin went there too.
On a side note, I wear jojo sandals too! That is soooo nice!
From a Japanese viewer. ,,"
20,20,12:35 Baby Review
21,21,Björn will find it soon..
22,22,Так приятно видеть счастье их семьи! Надеюсь они навсегда останутся такими же замечательными
23,23,"Are you gonna learn Björn swedish,english or japanese. Or maybe all"
24,24,"I just had my first son a couple weeks ago and I remember when I first found out I was pregnant, I was so terrified and Felix posted that him and Marzia were expecting and I felt so excited and comforted that my favorite YouTuber was expecting a child the same year as me. I've loved watching his videos and now having my own little boy in my arms and watching Bjorn with his parents has been such a cool experience! 🫶🏻"
25,25,This the best seeing my favourite youtuber being happy and have a child i cant express my feeling
26,26,7:14 viking speech
27,27,Pls back in Minecraft 😁😁
28,28,question is japan safer than the us???
29,29,I'll admit it. I was secretly hoping they called Bjorn Bitch Lasagne instead. 😂
30,30,Mission accomplished 👏 congrats with the family.
31,31,Pewds with his son is portrait worthy next to Mona Lisa. Seems like they can telepathically communicate and it'd still be considered wholesome to some extent.
32,32,attractive video
33,33,Childhood time is the best my life
34,34,chinse cute baby
35,35,Very nice
36,36,Nice
37,37,Congratulations baby daddy @PewDiePie.
38,38,Hello awreone please ❤
39,39,That kid does not look like pewdiepie 😆 might want to do a dna test.
40,40,bjorn is growing so fast 😭
41,41,"Gongrats Mate But as a Parent 1 thing Stay of the internet in Family maters That IS PRIVATE Mate.
Its best for you and your Family ;) stay Strong"
42,42,"That's a toad btw, should get rid of that lol, will kill your dog if they lick it."
43,43,Nice video
44,44,Edgar's the old one now 😥
45,45,I thought the gps was from my phone
46,46,really cute baby
47,47,I love your baby blogs
48,48,aww the Ib call out is so nostalgic
49,49,6:23 - меня зовут Бьёрн.)
50,50,BJORN IS SO CUTE I CANT HANDLE IT
51,51,"we saw bjorn grow up through his vlog bro, damn we old already."
52,52,7:12 He’s going to inherit Japan like the Lion King.
53,53,This kid has to learn English Japanese swedish and Italian
54,54,I am so glad that Felix can go to places like a trampoline park in Japan without being swarmed.
55,55,"Bjorn will speak four different languages fluently: English, Swedish, Italian, and Japanese."
56,56,We all know how you got that child
57,57,Nice
58,58,Very interesting
59,59,Very nice
60,60,Nice
61,61,Dad jokes are strong already
62,62,Good to see you making it.
63,63,The baby looks 100% like Marcia..😊
64,64,"i imagine when bjorn grows up, he's going to be a multilingual person. cause of just marzia being italian, pewdiepie being swedish, both speak english to converse with each other, and they're living in japan. Kinda cool honestly."
65,65,Wait till he turns two
66,66,your such a good father
67,67,"Damn, I'm kind of jealous of Marzia, to be honest. To be with a complex, tenacious and intelligent man like Felix; he'll do anything to make it work. I'm really bittersweet for them. Bjorn is in good hands. ☺"
68,68,Who is this guy? A swedish YouTuber settled in Japan nice
69,69,Does björn watch moomins?!
70,70,so i guess when bjorn grows up he can speak four languages 😮
71,71,THUMBS UP
72,72,Yo I haven't watched you a while but it's honestly so inspiring watching you enjoy life with honest videos here
73,73,important
74,74,"Just I Quick question. Are you planing on teaching Bjorn Englisch, Japanese, Swedish and Italian? 🇬🇧🇯🇵🇸🇪🇮🇹"
75,75,"6:22 Я работаюююю, меня зовут Бьёрн"
76,76,First 3 months are the worst after that u can sleep the whole night through
77,77,"I’m just so happy for him. It’s hard to be happy for someone when your in dark times, especially for a stranger but even tho I feel like I can’t better myself or I will never change or be better this video for some reason gives me a sense that true happiness is real and that all you got to do is reach for it."
78,78,"Deutschland dankt rechtherzlich für das ""Shoutout""!"
